Index,Title,Artist,Top Genre,Year,Beats Per Minute (BPM),Energy,Danceability,Loudness (dB),Liveness,Valence,Length (Duration),Acousticness,Speechiness,Popularity
1724,Everlong,Foo Fighters,alternative metal,1997,158,88,41,-6,8,36,251,0,4,77
1643,I Alone,Live,alternative metal,1994,90,82,40,-7,37,10,231,0,5,62
1302,Don't Answer Me,The Alan Parsons Project,album rock,1984,115,78,62,-9,22,63,252,7,3,57
706,Something Just Like This,The Chainsmokers,electropop,2017,103,64,62,-7,16,45,247,5,3,84
60,Goin To The Run,Golden Earring,album rock,2008,124,59,47,-8,28,18,236,42,3,38
1553,Live And Let Die,Guns N' Roses,glam metal,1991,153,78,26,-9,12,26,183,1,6,68
1308,That Was Yesterday,Foreigner,album rock,1984,115,68,43,-7,21,51,229,5,3,54
74,The Wild Rover,The Dubliners,celtic,2008,178,68,30,-8,43,77,249,83,25,46
163,Moonlight Shadow,Mike Oldfield,album rock,2009,129,72,61,-8,36,80,218,29,3,64
1134,MacArthur Park - Single Version,Donna Summer,dance pop,1979,131,67,58,-12,5,45,235,8,4,52
520,Euphoria,Loreen,electropop,2012,132,68,52,-5,6,11,214,8,4,56
1885,The End,The Doors,album rock,1967,106,30,35,-12,14,3,703,16,3,61
1044,Bat Out of Hell,Meat Loaf,album rock,1977,172,84,20,-8,29,39,590,28,7,60
589,Yellow Submarine,The Beatles,british invasion,2014,111,64,62,-7,52,65,159,21,3,58
1508,Don't Go Breaking My Heart,Elton John,glam rock,1990,131,86,74,-8,7,78,271,18,4,69
46,Come Undone,Robbie Williams,dance pop,2002,168,57,38,-5,35,26,278,4,3,56
1310,No Surrender,Bruce Springsteen,classic rock,1984,154,95,35,-5,56,86,240,0,5,52
778,In My Blood,Shawn Mendes,canadian pop,2018,140,71,62,-7,13,49,211,6,7,82
1035,Fool's Overture,Supertramp,album rock,1977,135,31,41,-10,7,7,653,31,4,56
545,Watermensen,3JS,dutch pop,2013,144,40,56,-8,11,46,209,66,3,36
77,Ne me quitte pas,Jacques Brel,chanson,2004,101,24,42,-11,19,30,229,82,5,58
1911,Ain't No Mountain High Enough,Marvin Gaye,classic soul,1967,130,60,66,-11,18,80,152,43,3,80
1543,(Everything I Do) I Do It For You,Bryan Adams,album rock,1991,131,37,53,-13,6,25,394,8,3,64
1315,Walk of Life,Dire Straits,album rock,1985,172,94,46,-7,12,80,252,44,11,61
1549,Give It Away,Red Hot Chili Peppers,alternative rock,1991,92,94,67,-10,15,78,283,0,5,73
1289,Be My Number Two,Joe Jackson,album rock,1984,110,31,40,-10,37,28,260,34,3,52
1641,Always,Bon Jovi,glam metal,1994,141,66,38,-6,8,33,353,12,3,76
938,Woman from Tokyo,Deep Purple,album rock,1973,127,54,58,-13,12,42,349,14,4,37
31,The Scientist,Coldplay,permanent wave,2002,146,44,56,-7,11,21,310,73,2,84
1090,Badlands,Bruce Springsteen,classic rock,1978,123,78,61,-8,28,85,242,9,5,58
1081,You Make Loving Fun - 2004 Remaster,Fleetwood Mac,album rock,1977,127,60,62,-9,10,86,217,1,3,58
830,25 or 6 to 4 - 2002 Remaster,Chicago,adult standards,1970,147,91,60,-7,8,72,290,31,6,64
1623,Rearviewmirror (Remastered),Pearl Jam,alternative rock,1993,159,96,37,-5,35,44,283,0,7,58
1108,Honesty,Billy Joel,album rock,1978,135,27,55,-15,11,21,234,42,3,59
1669,Champagne Supernova - Remastered,Oasis,britpop,1995,150,80,29,-5,36,12,448,47,4,63
1545,You,Ten Sharp,pop,1991,174,90,41,-8,19,67,273,43,3,61
1562,No Son of Mine - 2007 Remaster,Genesis,album rock,1991,104,60,66,-9,10,26,399,13,3,39
1241,Sweet Dreams (Are Made of This) - Remastered,Eurythmics,dance pop,1983,125,71,69,-7,12,88,217,23,3,81
1568,Killing In The Name,Rage Against The Machine,alternative metal,1992,89,83,47,-4,3,66,314,3,30,78
45,Breaking the Habit,Linkin Park,alternative metal,2003,100,85,58,-5,9,58,197,11,3,65
539,Waves,Mr. Probz,dutch hip hop,2013,174,28,36,-12,38,20,174,54,4,59
169,Hey There Delilah,Plain White T's,neo mellow,2005,104,29,66,-11,11,30,233,87,3,80
304,Blue Hotel,Chris Isaak,mellow gold,2006,149,81,52,-4,12,53,192,0,3,42
1264,Karma Chameleon - Remastered,Culture Club,dance pop,1983,92,73,67,-7,19,89,253,23,4,72
1377,The Way It Is,Bruce Hornsby,album rock,1986,111,69,58,-12,14,53,298,61,3,66
1919,Green Green Grass Of Home,Tom Jones,adult standards,1967,95,41,54,-13,10,82,185,16,3,62
1386,Invisible Touch - 2007 Remaster,Genesis,album rock,1986,131,88,66,-6,7,84,210,34,3,60
1363,Diamonds on the Soles of Her Shoes,Paul Simon,classic rock,1986,111,68,79,-10,22,88,349,78,4,63
655,Do I Ever,Kensington,dutch pop,2016,163,79,39,-6,40,34,204,0,5,53
652,Against All Odds (Take a Look at Me Now) - 2016 Remaster,Phil Collins,mellow gold,2016,116,50,58,-7,13,11,206,20,3,74
580,My Silver Lining,First Aid Kit,stomp and holler,2014,102,73,48,-5,21,43,215,3,3,64
758,Het Is Koud Zonder Jou,Andre Hazes,dutch pop,2018,197,64,18,-7,12,52,241,11,4,30
454,Kan Ik Iets Voor Je Doen,De Dijk,dutch indie,2011,79,73,50,-6,31,45,200,14,3,30
1436,Sara,Fleetwood Mac,album rock,1988,127,39,74,-17,9,59,382,38,3,56
1584,Plush - 2017 Remaster,Stone Temple Pilots,alternative metal,1992,144,94,43,-5,14,47,314,1,4,61
573,"Happy - From ""Despicable Me 2""",Pharrell Williams,dance pop,2014,160,82,65,-5,9,96,233,22,18,80
186,Belle Hélène,Doe Maar,dutch cabaret,2008,138,56,74,-10,8,98,170,11,4,49
1332,Close to Me - Remastered,The Cure,dance rock,1985,185,52,73,-11,8,96,203,7,12,60
536,Strong,London Grammar,metropopolis,2013,78,40,57,-11,8,30,266,74,3,49
1232,P.Y.T. (Pretty Young Thing),Michael Jackson,pop,1982,127,82,89,-5,13,96,239,23,4,71
1914,I'm a Believer - 2006 Remaster,The Monkees,brill building pop,1967,80,78,53,-6,22,96,167,71,4,73
994,Fame - 2016 Remaster,David Bowie,album rock,1975,95,56,79,-10,8,67,261,45,5,60
707,Thunder,Imagine Dragons,modern rock,2017,168,82,61,-5,15,29,187,1,4,86
1822,Run To The Water,Live,alternative metal,1999,181,85,15,-5,9,29,268,0,5,48
1595,Find The River,R.E.M.,alternative rock,1992,145,44,42,-9,14,30,230,22,3,58
1270,Summer Of '69,Bryan Adams,album rock,1984,139,83,51,-6,7,77,216,2,4,81
1927,"Window Of My Eyes - From ""The American"" Soundtrack",Cuby & The Blizzards,dutch indie,1968,184,53,41,-9,31,41,206,19,3,43
1361,The Lady In Red,Chris de Burgh,classic uk pop,1986,77,29,55,-17,4,49,256,33,3,74
974,I'm Not In Love,10cc,album rock,1975,134,52,40,-16,28,16,367,69,6,70
176,Hollereer,De Jeugd Van Tegenwoordig,dutch hip hop,2008,190,76,79,-7,10,49,346,3,24,46
479,I've Just Lost Somebody,Golden Earring,album rock,2011,88,40,37,-13,8,27,189,4,3,27
1612,Ordinary World,Duran Duran,dance rock,1993,140,65,47,-10,14,40,340,1,3,72
1605,Fields Of Gold,Sting,permanent wave,1993,104,34,65,-12,7,32,222,37,2,69
124,Eternal Flame,The Bangles,album rock,2004,79,36,53,-7,9,40,238,53,2,70
1008,If You Leave Me Now,Chicago,adult standards,1976,104,56,43,-7,13,28,235,2,3,74
394,Bliss,Muse,modern rock,2001,128,80,45,-9,11,25,251,0,5,46
731,September,"Earth, Wind & Fire",disco,2018,126,83,69,-7,25,98,215,17,3,82
1287,Private Dancer - 2015 Remaster,Tina Turner,disco,1984,115,57,59,-10,9,47,434,36,4,59
1106,Don't Look Back,Boston,album rock,1978,122,72,36,-10,36,47,360,2,4,55
923,Us and Them,Pink Floyd,album rock,1973,73,30,36,-15,63,13,469,86,3,65
332,Behind Blue Eyes,Limp Bizkit,alternative metal,2003,120,49,60,-7,12,9,270,50,3,72
1356,Don't Dream It's Over,Crowded House,australian pop,1986,82,42,44,-17,7,55,237,1,4,72
195,Tumble and Fall,JOHAN,dutch indie,2001,170,61,45,-7,9,48,209,2,3,36
1248,Just Can't Get Enough (Live in Hammersmith) - 2018 Remaster,Depeche Mode,dance rock,1983,127,96,65,-11,64,94,335,4,5,45
1365,Friends Will Be Friends - Remastered 2011,Queen,glam rock,1986,75,53,44,-8,34,35,247,4,3,50
1717,Novocaine For The Soul,Eels,alternative rock,1996,169,72,41,-8,8,31,189,0,4,54
323,Het Regent Zonnestralen,Acda en de Munnik,dutch cabaret,2005,108,75,62,-6,11,83,226,41,3,57
1794,Sacrifice,Anouk,dutch indie,1998,136,17,54,-13,9,24,238,74,5,11
267,Omarm,BLØF,dutch pop,2003,184,44,27,-9,10,8,252,41,3,46
508,Slapeloze Nachten,The Opposites,dutch hip hop,2012,112,65,81,-7,15,81,229,35,6,57
1426,Wonderful Life,Black,dance rock,1987,106,52,72,-12,21,82,288,71,3,64
68,In The Army Now,Status Quo,album rock,2002,105,73,68,-8,14,94,281,11,2,59
999,Still Crazy After All These Years,Paul Simon,classic rock,1975,37,25,27,-12,9,13,207,80,4,61
535,Papaoutai,Stromae,belgian pop,2013,116,81,73,-7,6,25,232,3,8,55
1164,Long Blond Animal,Golden Earring,album rock,1980,169,70,44,-8,28,78,217,1,4,39
1104,Still Believe,Herman Brood & His Wild Romance,dutch indie,1978,95,85,60,-8,63,64,191,1,3,38
472,Dust Bowl,Joe Bonamassa,blues rock,2011,86,75,52,-7,20,70,273,36,5,44
1407,Liefde Van Later,Herman van Veen,dutch pop,1987,121,8,50,-22,11,13,252,97,5,41
1682,You Don't Fool Me - Remastered 2011,Queen,glam rock,1995,122,83,59,-6,38,58,325,10,4,45
1678,Fake Plastic Trees,Radiohead,alternative rock,1995,74,23,45,-13,20,13,291,17,3,70
1488,Sowing The Seeds Of Love,Tears For Fears,art rock,1989,172,80,21,-7,36,68,377,1,4,62
783,The Load-Out - Remastered,Jackson Browne,album rock,2019,106,32,52,-12,13,31,335,74,3,37
1629,Younger Days,The Fatal Flowers,dutch indie,1993,116,85,54,-7,31,31,188,2,4,42
694,In the Blood,John Mayer,neo mellow,2017,80,66,55,-7,10,52,244,39,3,66
568,Une belle histoire,Michel Fugain,chanson,2014,83,58,27,-9,37,65,198,50,4,40
1816,All Star,Smash Mouth,alternative rock,1999,104,87,73,-6,9,78,200,4,3,80
773,Havana (feat. Young Thug),Camila Cabello,dance pop,2018,105,52,77,-4,13,39,217,18,3,85
611,Zeg Maar Niets Meer - Remastered,Andre Hazes,dutch pop,2015,95,79,36,-8,91,30,167,16,4,26
1526,Deurdonderen,Normaal,dutch rock,1991,175,79,46,-10,11,86,234,1,8,49
1574,I Will Always Love You,Whitney Houston,dance pop,1992,67,21,31,-13,8,11,271,84,4,77
1653,Annabel,Hans De Booij,dutch cabaret,1994,174,52,81,-14,10,59,213,6,30,45
1231,Should I Stay or Should I Go - Remastered,The Clash,classic rock,1982,113,83,74,-6,38,82,189,8,12,79
728,Kleine Jongen,Andre Hazes,dutch pop,2018,91,70,54,-6,10,56,221,5,3,30
651,Hello,Adele,british soul,2016,158,45,48,-6,9,29,295,34,3,73
1945,Daydream Believer,The Monkees,brill building pop,1968,126,49,51,-10,11,65,180,26,3,69
1403,Sign 'O' the Times,Prince,funk,1987,198,52,70,-7,8,55,303,1,10,54
910,Peaceful Easy Feeling - Eagles 2013 Remaster,Eagles,album rock,1972,143,63,57,-12,25,87,258,49,3,65
262,In My Place,Coldplay,permanent wave,2002,145,59,43,-5,30,19,227,6,3,70
577,Magic,Coldplay,permanent wave,2014,93,48,74,-9,11,36,285,3,4,73
964,Bohemian Rhapsody - 2011 Mix,Queen,glam rock,1975,144,40,39,-10,24,23,354,29,5,77
241,This Is The Life,Amy Macdonald,scottish singer-songwriter,2007,95,88,62,-5,7,86,184,27,3,41
1379,I'll Be Over You,TOTO,album rock,1986,82,28,52,-18,26,41,230,6,3,68
1827,Hey Boy Hey Girl,The Chemical Brothers,alternative dance,1999,127,92,63,-5,11,36,290,12,5,65
679,7 Years,Lukas Graham,danish pop,2016,120,47,77,-6,39,34,237,29,5,80
1084,Laat Me,Ramses Shaffy,dutch cabaret,1978,102,33,34,-14,15,35,305,65,3,50
1559,On the Border - 2001 Remaster,Al Stewart,album rock,1991,98,64,48,-12,8,73,202,6,3,49
366,Tranen Gelachen,Guus Meeuwis,dutch pop,2007,186,54,30,-8,12,54,203,16,4,50
1845,A Hard Day's Night - Remastered 2009,The Beatles,british invasion,1964,139,81,59,-6,10,80,154,14,4,69
1238,Every Breath You Take,The Police,album rock,1983,117,45,82,-10,7,74,254,54,3,84
586,Hemel Valt,Typhoon,dutch hip hop,2014,97,74,66,-7,33,74,161,24,14,43
734,Atemlos durch die Nacht,Helene Fischer,german pop,2018,128,78,81,-4,19,82,220,6,5,38
495,Madness,Muse,modern rock,2012,180,42,50,-8,11,22,281,13,7,70
1510,More Than Words,Extreme,album rock,1990,92,13,63,-15,11,24,334,47,3,67
72,No One Knows,Queens of the Stone Age,alternative metal,2002,171,58,51,-5,37,67,279,3,6,65
1074,La vie en rose,Grace Jones,art rock,1977,177,48,65,-16,6,80,448,23,6,58
260,I Still Cry,Ilse DeLange,dutch americana,2000,98,35,54,-9,13,16,274,32,3,30
52,Dansen Aan Zee,BLØF,dutch pop,2000,194,43,35,-11,10,26,275,16,3,52
199,Dakota,Stereophonics,britpop,2005,147,93,51,-3,9,31,297,13,7,68
860,Brown Sugar - Remastered,The Rolling Stones,album rock,1971,129,93,63,-4,6,96,229,22,3,71
839,Southern Man - 2009 Remaster,Neil Young,album rock,1970,162,57,37,-9,13,66,331,39,3,53
333,Rehab,Amy Winehouse,british soul,2006,72,87,43,-3,40,73,214,5,7,74
1775,De Bestemming,Marco Borsato,dutch cabaret,1998,109,50,27,-9,10,13,266,28,3,50
591,Superheroes,The Script,celtic rock,2014,167,89,49,-4,7,64,245,0,4,75
433,Hold On Tight,Solomon Burke,brill building pop,2010,89,73,63,-6,16,50,324,9,3,38
1318,Alive And Kicking,Simple Minds,art rock,1985,103,91,57,-4,13,56,289,8,4,64
949,My Boy,Elvis Presley,adult standards,1974,92,53,39,-12,61,37,199,59,3,42
1408,Unchain My Heart,Joe Cocker,album rock,1987,118,67,75,-13,32,70,304,2,4,62
1062,Spread Your Wings - 2011 Mix,Queen,glam rock,1977,175,66,39,-6,6,46,274,28,3,50
1233,Wanna Be Startin' Somethin',Michael Jackson,pop,1982,122,92,85,-4,6,90,362,2,4,64
427,You Got It,Roy Orbison,adult standards,2010,115,59,66,-12,31,67,204,60,3,44
1602,No Rain,Blind Melon,alternative metal,1992,148,48,39,-9,26,57,217,62,3,73
746,High Hopes,Panic! At The Disco,baroque pop,2018,82,90,58,-3,6,68,191,19,6,87
621,For Bitter Or Worse,Anouk,dutch indie,2015,83,41,27,-8,12,32,255,29,3,21
977,You're My Best Friend - Remastered 2011,Queen,glam rock,1975,119,76,52,-7,7,58,171,16,5,61
1971,Born On The Bayou,Creedence Clearwater Revival,album rock,1969,117,39,68,-16,11,55,315,7,5,59
1565,Mysterious Ways,U2,irish rock,1991,100,66,67,-8,11,70,244,0,3,63
721,Homesick,Dua Lipa,dance pop,2017,86,22,43,-9,11,40,230,95,4,71
399,Do They Know It's Christmas? - 1984 Version,Band Aid,electro,2004,115,64,60,-7,10,35,223,16,4,84
1840,The Sound of Silence - Acoustic Version,Simon & Garfunkel,classic rock,1964,107,22,53,-14,11,33,185,84,3,75
437,Levels,Avicii,big room,2011,126,83,60,-7,34,35,339,3,4,58
193,The Real Slim Shady,Eminem,detroit hip hop,2000,105,66,95,-4,5,76,284,3,6,80
1798,"Slaap Zacht , Elisabeth",Acda en de Munnik,dutch cabaret,1998,174,38,44,-11,10,19,263,36,3,37
612,Chandelier,Sia,australian dance,2015,117,79,40,-3,7,57,216,2,5,71
987,Wij Zullen Doorgaan - 1975 Single Version,Ramses Shaffy,dutch cabaret,1975,81,25,25,-17,21,32,264,91,3,37
619,Ordinary Love,U2,irish rock,2015,121,48,66,-9,18,35,219,4,3,45
1422,Lessons In Love,Level 42,art rock,1987,113,84,71,-8,30,86,246,16,4,62
1674,Gangsta's Paradise,Coolio,g funk,1995,80,51,65,-10,40,39,241,7,6,80
1092,Dreadlock Holiday,10cc,album rock,1978,105,38,84,-13,20,89,268,54,6,67
142,She Sells Sanctuary,The Cult,album rock,2000,139,77,55,-9,13,42,253,0,3,63
1879,"Monday, Monday - Single Version",The Mamas & The Papas,adult standards,1966,110,46,49,-9,57,71,208,74,3,62
3,Clint Eastwood,Gorillaz,alternative hip hop,2001,168,69,66,-9,7,52,341,2,17,69
1546,Heal the World,Michael Jackson,pop,1991,81,49,53,-8,10,10,384,54,5,68
1864,"Paint It, Black",The Rolling Stones,album rock,1966,159,80,46,-9,40,61,202,5,9,78
1320,Running Up That Hill (A Deal With God),Kate Bush,art pop,1985,108,55,63,-13,6,20,299,72,6,67
340,Bedshaped,Keane,modern rock,2004,75,41,33,-7,10,7,276,61,3,41
737,Als Het Avond Is,Suzan & Freek,dutch pop,2018,105,47,72,-7,11,45,206,53,3,65
1869,That's Life,Frank Sinatra,adult standards,1966,112,44,55,-14,44,63,187,53,7,75
480,Skyfall - Full Length,Adele,british soul,2012,76,55,35,-7,11,8,286,42,3,74
266,Drops of Jupiter,Train,dance pop,2001,79,64,47,-6,15,50,260,15,3,77
377,Trouble,Coldplay,permanent wave,2000,140,55,56,-7,17,19,273,19,3,71
1550,Four Seasons In One Day,Crowded House,australian pop,1991,89,26,52,-17,9,49,170,82,3,51
1691,A Winter's Tale - 2011 Remaster,Queen,glam rock,1995,54,56,36,-6,31,14,230,18,3,29
440,Rood,Marco Borsato,dutch cabaret,2011,138,78,48,-8,8,18,319,1,5,53
272,I Don't Wanna Hurt,Anouk,dutch indie,2007,79,48,48,-7,10,22,213,60,3,46
185,Virtual Insanity - Remastered,Jamiroquai,acid jazz,2006,92,95,66,-5,14,52,229,13,11,69
1324,Everybody Wants To Rule The World,Tears For Fears,art rock,1985,112,80,65,-12,10,54,251,35,5,80
245,So Incredible,Ilse DeLange,dutch americana,2008,104,86,54,-6,72,75,177,11,3,54
544,Just Say Yes,Snow Patrol,irish rock,2013,108,88,54,-5,3,25,282,2,3,48
446,kom terug,Spinvis,dutch indie,2011,97,73,50,-6,20,24,231,2,3,47
594,Looking Too Closely,Fink,chamber pop,2014,175,52,48,-12,9,10,311,33,4,63
814,The Long And Winding Road - Remastered 2009,The Beatles,british invasion,1970,132,33,30,-10,6,39,218,76,3,64
1393,Fragile,Sting,permanent wave,1987,82,20,32,-21,9,29,236,91,4,62
908,Song Sung Blue - Single Version,Neil Diamond,adult standards,1972,109,33,56,-16,32,33,195,47,3,54
713,Holiday,Green Day,modern rock,2017,147,89,55,-3,89,72,233,0,3,67
705,Amsterdam,Nothing But Thieves,alternative pop rock,2017,168,93,51,-5,24,67,272,0,24,63
416,Raise Your Glass,P!nk,dance pop,2010,122,71,70,-5,3,63,203,0,8,76
274,Iedereen Is Van De Wereld,The Scene,belgian rock,2007,118,73,45,-7,29,38,228,0,4,50
1353,De Verzoening,Frank Boeijen Groep,dutch cabaret,1986,101,31,61,-15,6,28,302,70,3,47
1481,I Wish It Would Rain Down - 2016 Remaster,Phil Collins,mellow gold,1989,126,67,51,-5,31,36,328,29,3,61
1450,Pamela,TOTO,album rock,1988,98,41,58,-16,6,53,310,13,3,53
251,Dochters,Marco Borsato,dutch cabaret,2008,128,52,64,-10,11,36,270,57,3,57
414,The Eve of the War,Jeff Wayne,classic uk pop,2010,127,59,40,-9,11,37,263,8,4,28
614,Birds,Anouk,dutch indie,2015,85,41,17,-8,11,9,203,61,3,33
1303,Nightporter,Japan,art pop,1984,110,8,52,-20,10,10,408,75,3,41
1642,All I Want for Christmas Is You,Mariah Carey,dance pop,1994,150,63,34,-7,7,35,241,16,4,95
311,Viva La Vida,Coldplay,permanent wave,2008,138,62,49,-7,11,42,242,9,3,78
1329,Your Latest Trick,Dire Straits,album rock,1985,123,41,70,-14,14,26,394,72,3,46
382,Undisclosed Desires,Muse,modern rock,2009,116,59,68,-7,8,64,235,1,3,65
967,Born to Run,Bruce Springsteen,classic rock,1975,146,94,27,-4,12,61,270,1,10,73
426,Pyro,Kings of Leon,modern rock,2010,115,61,37,-7,10,19,251,1,4,66
530,All of Me,John Legend,neo mellow,2013,120,26,42,-7,13,33,270,92,3,86
1059,Take A Chance On Me,ABBA,europop,1977,107,69,69,-8,20,93,244,17,3,63
1648,Ode To My Family,The Cranberries,irish rock,1994,94,45,36,-10,28,14,271,6,2,69
1352,The Final Countdown,Europe,album rock,1986,118,84,54,-7,6,19,310,6,6,75
409,I Follow Rivers - Live @ Giel!,Triggerfinger,belgian rock,2010,110,41,67,-9,3,71,214,15,6,42
1609,I'd Do Anything For Love (But I Won't Do That) - Single Edit,Meat Loaf,album rock,1993,105,67,42,-6,41,30,316,62,9,59
1548,On Every Street,Dire Straits,album rock,1991,132,27,32,-11,17,15,302,58,4,56
1746,N'oubliez Jamais,Joe Cocker,album rock,1997,87,49,59,-8,6,35,283,14,2,35
932,Daniel,Elton John,glam rock,1973,132,48,69,-12,9,90,235,38,3,65
1932,What A Wonderful World - Single Version,Louis Armstrong,adult standards,1968,77,17,27,-21,12,20,139,73,4,68
1993,Take Five,The Dave Brubeck Quartet,bebop,1959,174,26,45,-13,7,60,324,54,4,65
1454,Living Years,Mike & The Mechanics,album rock,1988,98,42,52,-13,7,31,330,58,3,55
1762,Narcotic - Long Version,Liquido,german alternative rock,1998,102,59,59,-7,8,36,278,0,3,42
183,The Blower's Daughter,Damien Rice,acoustic pop,2003,133,20,34,-14,34,7,287,13,3,56
1337,Greatest Love of All,Whitney Houston,dance pop,1985,131,31,50,-16,12,25,291,48,3,66
716,Pain,The War On Drugs,chamber pop,2017,116,83,52,-4,8,48,331,0,4,62
171,"Comptine d'un autre été, l'après-midi",Yann Tiersen,bow pop,2001,100,19,48,-15,11,6,141,99,5,56
293,I Bet You Look Good On The Dancefloor,Arctic Monkeys,garage rock,2006,103,95,54,-4,38,78,174,0,4,58
1949,Space Oddity - 2015 Remaster,David Bowie,album rock,1969,140,44,30,-13,18,43,319,7,3,73
585,"See Me, Feel Me - Single Version",The Who,album rock,2014,94,34,38,-11,8,8,217,9,3,39
301,Hald Mich 'S Vas,Neet Oét Lottum,carnaval limburg,2004,179,54,29,-8,12,16,251,29,4,39
1871,Scarborough Fair / Canticle,Simon & Garfunkel,classic rock,1966,129,25,34,-16,11,30,190,65,3,63
556,A Ton of Love,Editors,alternative dance,2013,142,96,46,-4,28,40,238,7,6,26
483,Radioactive,Imagine Dragons,modern rock,2012,136,78,45,-4,67,24,187,11,6,73
1646,Glory Box,Portishead,art pop,1994,120,43,51,-10,6,21,309,18,4,67
846,Baba O'Riley,The Who,album rock,1971,117,72,49,-8,29,15,300,31,4,77
273,Ordinary People,John Legend,neo mellow,2005,67,13,47,-14,9,36,281,93,8,69
1544,No More Tears,Ozzy Osbourne,album rock,1991,103,75,35,-7,65,32,443,0,4,66
1056,I Feel Love,Donna Summer,dance pop,1977,127,71,67,-16,9,96,355,3,4,46
1019,Tom Traubert's Blues (Four Sheets To The Wind In Copenhagen),Tom Waits,folk,1976,135,28,30,-13,17,33,399,80,3,52
372,One,Johnny Cash,arkansas country,2000,94,50,51,-8,39,42,232,61,3,47
1437,Stop Loving You,TOTO,album rock,1988,102,65,56,-13,6,60,269,23,3,63
1076,Le Freak - 2018 Remaster,CHIC,disco,1977,119,64,91,-11,6,90,331,3,6,69
600,Love Never Felt So Good,Michael Jackson,pop,2014,118,72,78,-6,7,71,246,13,4,70
775,One Kiss (with Dua Lipa),Calvin Harris,dance pop,2018,124,86,79,-3,8,59,215,4,11,86
519,Little Talks,Of Monsters and Men,folk-pop,2012,103,76,45,-5,15,42,267,2,3,75
335,I'm Yours,Jason Mraz,acoustic pop,2008,151,46,69,-8,11,72,242,60,5,82
693,Sign of the Times,Harry Styles,dance pop,2017,120,60,52,-5,11,22,341,3,3,80
1165,Think,The Blues Brothers,blues,1980,129,84,65,-6,24,71,195,50,19,56
1051,Psycho Killer - 2005 Remaster,Talking Heads,alternative rock,1977,123,52,72,-8,13,94,261,7,6,73
766,Outlaw In 'Em,Waylon,dutch americana,2018,87,93,50,-3,37,68,217,3,8,39
16,Zonder Jou,Paul de Leeuw,dutch cabaret,2006,133,42,42,-10,16,25,236,84,4,48
675,We All Stand Together - Remastered 2016,Paul McCartney,album rock,2016,72,26,35,-12,13,48,265,61,3,24
983,Calypso,John Denver,adult standards,1975,180,43,22,-9,12,50,216,82,3,54
1680,1979 - Remastered 2012,The Smashing Pumpkins,alternative metal,1995,127,79,77,-10,5,96,266,2,3,74
681,The Book Of Love,Gavin James,neo mellow,2016,108,7,52,-14,13,27,177,70,4,34
1640,Kiss from a Rose,Seal,british soul,1994,132,53,58,-7,31,22,288,68,3,72
466,Ni**as In Paris,JAY-Z,east coast hip hop,2011,140,86,79,-6,35,77,219,13,32,77
1152,Sausolito Summernight - Digitally Remastered 2017,Diesel,basshall,1979,125,93,62,-6,27,55,306,6,11,39
200,Time To Say Goodbye (Con Te Partirò),Sarah Brightman,operatic pop,2006,105,44,29,-7,10,45,246,91,3,59
1205,Africa,TOTO,album rock,1982,93,37,67,-18,5,73,296,26,3,84
1054,Let There Be Rock,AC/DC,album rock,1977,91,73,49,-6,8,43,366,0,9,62
1990,Heartbreak Hotel,Elvis Presley,adult standards,1958,94,21,70,-12,11,72,128,84,7,63
1456,Baby Can I Hold You,Tracy Chapman,folk,1988,74,42,69,-11,8,47,193,8,3,72
1906,"He Ain't Heavy, He's My Brother",The Hollies,adult standards,1967,76,44,31,-7,51,22,258,41,3,50
1434,Fast Car,Tracy Chapman,folk,1988,104,29,71,-16,13,19,297,31,4,77
1396,Welcome To The Jungle,Guns N' Roses,glam metal,1987,124,99,45,-4,27,32,273,2,9,72
1767,"I Don't Want to Miss a Thing - From ""Armageddon"" Soundtrack",Aerosmith,album rock,1998,121,66,38,-5,25,14,299,17,3,76
745,Sammy,Ramses Shaffy,dutch cabaret,2018,81,49,50,-8,14,76,135,76,5,23
1922,(Sittin' On) the Dock of the Bay,Otis Redding,classic soul,1968,104,37,77,-11,8,54,164,68,3,73
44,American Idiot,Green Day,modern rock,2004,186,99,38,-2,37,77,176,0,6,78
275,Gold,Spandau Ballet,dance rock,2000,143,74,71,-8,10,64,231,26,4,66
1095,Bicycle Race - Remastered 2011,Queen,glam rock,1978,83,67,43,-6,10,61,181,6,8,55
102,Halt mich,Herbert Grönemeyer,german pop,2008,104,44,29,-7,8,16,207,79,3,44
889,A Horse with No Name,America,album rock,1972,123,51,65,-17,16,83,252,69,5,77
1390,Where The Streets Have No Name - Remastered,U2,irish rock,1987,126,72,49,-10,16,29,338,1,4,66
1917,Break on Through (To the Other Side),The Doors,album rock,1967,90,75,42,-10,17,79,146,20,5,72
108,Ben Ik Te Min,Armand,dutch rock,2009,101,69,62,-7,6,56,208,28,3,47
1282,Vienna,Ultravox,art rock,1984,81,61,58,-10,11,46,278,16,6,53
498,Lover of the Light,Mumford & Sons,modern folk rock,2012,107,69,30,-7,27,37,315,1,5,57
1975,Overture,The Who,album rock,1969,118,62,48,-10,14,19,320,6,3,43
1630,All Apologies,Nirvana,alternative rock,1993,113,63,45,-12,9,36,233,8,3,67
1279,When Doves Cry,Prince,funk,1984,126,99,73,-5,44,84,353,1,5,70
1381,In Your Eyes - 2012 Remaster,Peter Gabriel,album rock,1986,89,65,62,-9,7,63,330,6,4,54
